"(PDH-CSV 4.0) (India Standard Time)(-330)","\\ASCENDI-6COJU9A\Processor(_Total)\% Processor Time"
"08/25/2025 14:17:12.417"," "
"08/25/2025 14:17:28.780","32.175248824747995968"
"08/25/2025 14:17:43.780","20.146883667990156397"
"08/25/2025 14:17:58.795","18.288818302564092022"
"08/25/2025 14:18:13.781","17.753364930054825521"
"08/25/2025 14:18:28.787","18.220531272615446028"
"08/25/2025 14:18:43.786","20.78996681935461055"
"08/25/2025 14:18:58.776","20.25541404069517526"
"08/25/2025 14:19:13.798","20.116947191650368154"
"08/25/2025 14:19:28.792","18.262931182753273873"
"08/25/2025 14:19:43.787","18.134967434523542096"
"08/25/2025 14:19:58.787","18.25043272770943048"
"08/25/2025 14:20:13.792","18.218422704796346068"
"08/25/2025 14:20:28.779","19.219263431018131172"
"08/25/2025 14:20:43.786","19.435078118080451048"
"08/25/2025 14:20:58.793","18.038218232426338261"
"08/25/2025 14:21:13.776","17.092824980558297909"
"08/25/2025 14:21:28.786","16.493159536018321631"
"08/25/2025 14:21:43.799","16.819818117464922835"
"08/25/2025 14:21:58.795","19.833059245612304267"
"08/25/2025 14:22:13.786","16.72083029906703544"
"08/25/2025 14:22:28.794","17.085284781754374706"
"08/25/2025 14:22:43.788","17.05538763453515827"
"08/25/2025 14:22:58.783","18.092998388423676914"
"08/25/2025 14:23:13.776","18.628482810987335938"
"08/25/2025 14:23:28.795","17.500365869751966841"
"08/25/2025 14:23:43.787","16.519458545900157276"
"08/25/2025 14:23:58.789","16.906862562442547926"
"08/25/2025 14:24:13.786","16.964771125820842457"
"08/25/2025 14:24:28.793","17.205211504468131523"
"08/25/2025 14:24:43.798","17.108611338610259622"
"08/25/2025 14:24:58.787","17.213263436727231692"
"08/25/2025 14:25:13.798","20.472296295408032307"
"08/25/2025 14:25:28.787","16.834468259646516941"
"08/25/2025 14:25:43.796","17.468233064859518322"
"08/25/2025 14:25:58.786","40.353526089388537912"
"08/25/2025 14:26:13.797","17.854323555193861495"
"08/25/2025 14:26:28.780","18.533900806130120031"
"08/25/2025 14:26:43.775","16.660818683304189136"
"08/25/2025 14:26:58.797","24.128208609944369556"
"08/25/2025 14:27:13.785","19.897562283919402404"
