"(PDH-CSV 4.0) (India Standard Time)(-330)","\\ASCENDI-7V67EKU\Processor(_Total)\% Processor Time"
"08/25/2025 15:54:53.206"," "
"08/25/2025 15:54:58.228","19.563481613042089435"
"08/25/2025 15:55:03.256","20.766966418676425121"
"08/25/2025 15:55:08.283","17.782950191395574535"
"08/25/2025 15:55:13.310","20.583071517115559601"
"08/25/2025 15:55:18.336","17.767420472981154234"
"08/25/2025 15:55:23.367","25.933019609165043562"
"08/25/2025 15:55:28.387","18.137114175674629024"
"08/25/2025 15:55:33.416","16.741494937425592582"
"08/25/2025 15:55:38.439","18.964603629366429516"
"08/25/2025 15:55:43.464","15.566962689372321194"
"08/25/2025 15:55:48.493","16.115699669330329158"
