"(PDH-CSV 4.0) (India Standard Time)(-330)","\\ASCENDI-7V67EKU\Processor(_Total)\% Processor Time"
"08/25/2025 15:10:26.870"," "
"08/25/2025 15:10:31.890","18.486126025038828402"
"08/25/2025 15:10:36.920","17.34124826140678266"
"08/25/2025 15:10:41.960","16.61425536800349434"
"08/25/2025 15:10:46.991","18.47108227367895239"
"08/25/2025 15:10:52.017","16.985497079053569536"
"08/25/2025 15:10:57.048","17.698938548116750269"
"08/25/2025 15:11:02.068","20.472912547360667901"
"08/25/2025 15:11:07.098","19.401328948904772886"
"08/25/2025 15:11:12.140","17.707581760242007363"
"08/25/2025 15:11:17.164","18.676713755745733891"
"08/25/2025 15:11:22.192","15.470292859833312704"
