"(PDH-CSV 4.0) (India Standard Time)(-330)","\\ASCENDI-L9OUVIN\Processor(_Total)\% Processor Time"
"08/28/2025 09:25:06.256"," "
"08/28/2025 09:25:13.817","47.203351921853212048"
"08/28/2025 09:25:20.815","41.500935870707287734"
"08/28/2025 09:25:27.605","41.43020148047512663"
"08/28/2025 09:25:33.897","39.035157802182261833"
"08/28/2025 09:25:39.995","38.894833418123219815"
"08/28/2025 09:25:45.628","31.067027424433611316"
"08/28/2025 09:25:51.122","32.741237506808573698"
"08/28/2025 09:25:56.189","38.321705379385463175"
"08/28/2025 09:26:01.129","21.244938953074520072"
"08/28/2025 09:26:05.687","16.534058996027813038"
"08/28/2025 09:26:10.134","8.4724361168101562924"
