"(PDH-CSV 4.0) (India Standard Time)(-330)","\\ASCENDI-8POD398\PhysicalDisk(_Total)\Disk Reads/sec","\\ASCENDI-8POD398\PhysicalDisk(_Total)\Disk Writes/sec","\\ASCENDI-8POD398\PhysicalDisk(_Total)\Avg. Disk sec/Read","\\ASCENDI-8POD398\PhysicalDisk(_Total)\Avg. Disk sec/Write","\\ASCENDI-8POD398\PhysicalDisk(_Total)\Current Disk Queue Length"
"08/26/2025 10:36:55.694"," "," "," "," ","0"
"08/26/2025 10:37:01.114","0.5960454648380759668","10.331454723859984313","0.0096773666666666677966","0.0034048807692307692455","0"
"08/26/2025 10:37:06.764","0.80527255425991906002","19.729177579368016637","0.0022929500000000001964","0.0046679785714285708387","0"
"08/26/2025 10:37:12.691","0.39973403296382720162","4.3970743626020993844","0.012604850000000000776","0.0021816681818181819265","0"
"08/26/2025 10:37:18.942","1.4003604247661263216","74.819256980361615206","0.0049309285714285713484","0.0021108668449197859167","0"
"08/26/2025 10:37:25.461","0.99956494935144424296","6.5971286657195324921","0.007598620000000000374","0.0012258909090909092011","0"
"08/26/2025 10:37:31.607","0.20027714752228428785","2.8038800653119801964","0.0018696999999999999644","0.0015856071428571427272","0"
"08/26/2025 10:37:37.457","1.8045286812690866096","13.634216702921987618","0.0044288777777777774136","0.0008624794117647058625","0"
"08/26/2025 10:37:43.007","0","2.1973740062201265744","0","0.0033073272727272727198","0"
"08/26/2025 10:37:48.614","7.9083783487957504121","2.8244208388556253375","0.0058576761904761904046","0.0012329800000000000568","0"
"08/26/2025 10:37:53.272","0","3.627082262588423589","0","0.0024655411764705880556","1"
