"(PDH-CSV 4.0) (India Standard Time)(-330)","\\ASCENDI-8POD398\Network Interface(Intel[R] PRO_1000 MT Desktop Adapter)\Bytes Sent/sec"
"08/26/2025 11:01:11.637"," "
"08/26/2025 11:01:18.046","21.786642609416166039"
"08/26/2025 11:01:24.655","27.4247771891993537"
"08/26/2025 11:01:30.849","54.480785145943649184"
"08/26/2025 11:01:36.795","11.004186873021446047"
"08/26/2025 11:01:42.353","66.11430104822420617"
"08/26/2025 11:01:47.816","2290.1898454794632016"
"08/26/2025 11:01:52.732","3171.0491372833748756"
"08/26/2025 11:01:57.554","27.801136510460548124"
"08/26/2025 11:02:02.056","11.015388938963289078"
