"(PDH-CSV 4.0) (India Standard Time)(-330)","\\ASCENDI-8POD398\Processor(_Total)\% Processor Time","\\ASCENDI-8POD398\System\Processor Queue Length","\\ASCENDI-8POD398\Processor Information(_Total)\% Privileged Time"
"08/25/2025 16:07:15.325"," ","0"," "
"08/25/2025 16:07:19.826","26.408616285816531644","0","32.80370641976574575"
"08/25/2025 16:07:24.728","21.119680303590669723","0","21.353460281452221636"
"08/25/2025 16:07:29.689","16.684151760019794608","0","15.434694002869678187"
"08/25/2025 16:07:35.095","24.282263366883238831","0","15.750445215667419063"
"08/25/2025 16:07:40.543","22.847477431676800563","0","12.476337292647061261"
"08/25/2025 16:07:46.474","31.506745384313326497","0","15.147546693853783495"
"08/25/2025 16:07:52.485","33.060404876459301704","0","14.037818006490088152"
"08/25/2025 16:07:59.023","42.639674457667297247","0","18.044602410192162267"
"08/25/2025 16:08:05.635","38.446803936894212939","0","12.40515467682554096"
"08/25/2025 16:08:11.717","34.485181742278236072","0","15.029870070889108646"
"08/25/2025 16:08:17.682","31.631649525675154422","0","14.145175960205138566"
"08/25/2025 16:08:23.133","36.080315721918978511","0","21.354333985278188379"
"08/25/2025 16:08:28.500","25.033570054669052496","0","16.303378939567121364"
