"(PDH-CSV 4.0) (India Standard Time)(-330)","\\ascendi-9p6ah5o\Processor(_Total)\% Processor Time"
"08/26/2025 10:37:22.007"," "
"08/26/2025 10:37:29.676","75.857480677085419529"
"08/26/2025 10:37:37.247","72.982107796463139948"
"08/26/2025 10:37:44.854","75.43750655767189528"
"08/26/2025 10:37:52.381","73.53544496532261121"
"08/26/2025 10:37:59.346","72.182574314593708209"
"08/26/2025 10:38:06.109","70.656948972731854042"
"08/26/2025 10:38:12.281","71.012927814957919281"
"08/26/2025 10:38:18.364","68.279075000196854717"
"08/26/2025 10:38:23.904","65.162926701398646401"
"08/26/2025 10:38:29.378","73.027749298125527844"
"08/26/2025 10:38:34.366","58.966118799157840158"
"08/26/2025 10:38:39.295","60.532448801665481142"
"08/26/2025 10:38:43.781","55.944489627868755122"
"08/26/2025 10:38:48.221","61.634668469021605119"
"08/26/2025 10:38:52.333","55.546859524987937107"
"08/26/2025 10:38:56.322","49.656073487533362254"
"08/26/2025 10:38:59.949","47.448679931515812314"
"08/26/2025 10:39:03.595","44.728134127655913233"
"08/26/2025 10:39:06.859","44.214528921701187869"
"08/26/2025 10:39:10.096","40.389223789577080481"
"08/26/2025 10:39:13.055","31.081609716607072613"
"08/26/2025 10:39:15.992","28.728176737918520445"
"08/26/2025 10:39:18.647","28.49003114072570142"
"08/26/2025 10:39:21.267","27.825658169872092174"
"08/26/2025 10:39:23.776","25.273585360222572405"
"08/26/2025 10:39:26.285","18.425026227537209422"
"08/26/2025 10:39:29.028","24.251506467814166967"
"08/26/2025 10:39:31.795","26.870110292749060932"
"08/26/2025 10:39:34.814","39.17658123247416313"
"08/26/2025 10:39:38.403","81.279281989308145739"
"08/26/2025 10:39:41.734","76.314572198211820364"
"08/26/2025 10:39:45.074","55.087842341798953782"
"08/26/2025 10:39:48.746","43.617240857451776037"
"08/26/2025 10:39:52.412","47.153164857168306412"
"08/26/2025 10:39:56.509","59.965774992684941935"
"08/26/2025 10:40:00.559","56.776915335906096516"
"08/26/2025 10:40:05.001","56.385992274726781659"
"08/26/2025 10:40:09.435","56.654517940614681493"
"08/26/2025 10:40:14.313","60.596006733969453251"
"08/26/2025 10:40:19.233","57.602699004432352581"
"08/26/2025 10:40:24.676","62.682325888409117454"
"08/26/2025 10:40:30.090","61.632147800471770438"
"08/26/2025 10:40:36.008","64.477465192712088538"
"08/26/2025 10:40:41.939","66.407065386152126507"
"08/26/2025 10:40:48.496","68.440552110632609129"
"08/26/2025 10:40:55.130","77.499483812241834357"
"08/26/2025 10:41:02.285","71.171573821569424467"
"08/26/2025 10:41:09.505","72.949709512600207972"
"08/26/2025 10:41:17.052","74.535585726445034993"
"08/26/2025 10:41:24.679","77.771099847397564986"
"08/26/2025 10:41:32.290","74.441076390997011458"
"08/26/2025 10:41:39.844","75.383873882611567296"
"08/26/2025 10:41:47.354","75.970383088965732554"
"08/26/2025 10:41:54.864","77.426138591781452192"
"08/26/2025 10:42:02.373","89.075678664286556341"
"08/26/2025 10:42:09.809","73.215039114462825864"
"08/26/2025 10:42:16.575","71.012608424208465863"
"08/26/2025 10:42:23.295","69.307351523996757692"
"08/26/2025 10:42:29.425","67.115745332715817995"
