"(PDH-CSV 4.0) (India Standard Time)(-330)","\\ASCENDI-8POD398\Network Interface(Intel[R] PRO_1000 MT Desktop Adapter)\Bytes Total/sec"
"08/26/2025 11:01:05.578"," "
"08/26/2025 11:01:11.585","791.98162250288055475"
"08/26/2025 11:01:18.000","70.066162419193346977"
"08/26/2025 11:01:24.611","69.426495927905918393"
"08/26/2025 11:01:30.788","145.02058501103687149"
"08/26/2025 11:01:36.742","23.789565420815119268"
"08/26/2025 11:01:42.344","141.94452307057733265"
"08/26/2025 11:01:47.664","4400.8567446738443323"
"08/26/2025 11:01:52.674","6340.3539475414836488"
"08/26/2025 11:01:57.489","70.269782109821989025"
